id,study_plan,discipline,semester
1,2,1,1
2,2,2,1
3,2,3,1
4,2,4,1
5,2,5,1
6,2,6,1
7,2,7,1
8,2,8,1
9,2,9,1
10,2,10,1
11,2,11,1
12,2,12,1
13,2,13,1
14,2,14,1
15,2,15,1
16,2,16,1
17,2,17,1
18,2,18,1
19,2,19,1
20,2,20,1
21,2,21,1
22,2,22,1
23,2,23,1
24,2,24,1
25,2,25,1
26,2,26,1
27,2,27,1
28,2,28,1
29,2,29,1
30,2,30,1
31,2,31,1
32,2,32,1
33,2,33,1
34,2,34,1
35,2,35,1
36,2,36,1
37,2,37,1
38,2,38,1
39,2,39,1
40,2,40,1
41,2,41,1
42,2,42,1
43,2,43,1
44,2,44,1
45,2,45,1
46,2,46,1
47,2,47,1
48,2,48,1
49,2,49,1
50,2,50,1
51,2,51,1
52,2,52,1
53,2,53,1
54,2,54,1
55,2,55,1
56,2,56,1
57,2,57,1
58,2,58,1
59,2,59,1
60,2,60,1
61,2,61,1
62,2,62,1
63,2,63,1
